player_id,name,season,fantasy_points,games_played,points_per_game,league_id
semiema01,Marcus Semien,2022,467.4,161.0,2.9,standard
freemfr01,Freddie Freeman*,2022,469.6,159.0,2.95,standard
turnetr01,Trea Turner,2022,472.7,160.0,2.95,standard
guerrvl02,Vladimir Guerrero Jr.,2022,455.8,160.0,2.85,standard
lindofr01,Francisco Lindor#,2022,467.2,161.0,2.9,standard
olsonma02,Matt Olson*,2022,440.7,162.0,2.72,standard
bichebo01,Bo Bichette,2022,443.7,159.0,2.79,standard
judgeaa01,Aaron Judge,2022,544.8,157.0,3.47,standard
swansda01,Dansby Swanson,2022,454.2,162.0,2.8,standard
rileyau01,Austin Riley,2022,444.8,159.0,2.8,standard
alonspe01,Pete Alonso,2022,485.4,160.0,3.03,standard
ramirjo01,José Ramírez#,2022,491.5,157.0,3.13,standard
croneja01,Jake Cronenworth*,2022,420.5,158.0,2.66,standard
abreujo02,José Abreu,2022,407.2,157.0,2.59,standard
nimmobr01,Brandon Nimmo*,2022,415.2,151.0,2.75,standard
hoskirh01,Rhys Hoskins,2022,419.6,156.0,2.69,standard
mullice01,Cedric Mullins*,2022,445.2,156.0,2.85,standard
yelicch01,Christian Yelich*,2022,419.4,154.0,2.72,standard
rosaram01,Amed Rosario,2022,423.1,153.0,2.77,standard
schwaky01,Kyle Schwarber*,2022,467.4,155.0,3.02,standard
walkech02,Christian Walker,2022,445.0,160.0,2.78,standard
ohtansh01,Shohei Ohtani*,2022,453.7,157.0,2.89,standard
sotoju01,Juan Soto*,2022,429.4,153.0,2.81,standard
sotoju01,Juan Soto*,2022,396.9,101.0,3.93,standard
sotoju01,Juan Soto*,2022,335.1,52.0,6.44,standard
seageco01,Corey Seager*,2022,444.4,151.0,2.94,standard
profaju01,Jurickson Profar#,2022,401.9,152.0,2.64,standard
garciad02,Adolis García,2022,461.7,156.0,2.96,standard
bregmal01,Alex Bregman,2022,440.8,155.0,2.84,standard
goldspa01,Paul Goldschmidt,2022,476.2,151.0,3.15,standard
santaan02,Anthony Santander#,2022,432.9,152.0,2.85,standard
belljo02,Josh Bell#,2022,404.0,156.0,2.59,standard
belljo02,Josh Bell#,2022,381.0,103.0,3.7,standard
belljo02,Josh Bell#,2022,325.6,53.0,6.14,standard
arozara01,Randy Arozarena,2022,448.1,153.0,2.93,standard
lowena01,Nathaniel Lowe*,2022,412.8,157.0,2.63,standard
machama01,Manny Machado,2022,464.0,150.0,3.09,standard
verdual01,Alex Verdugo*,2022,400.1,152.0,2.63,standard
happia01,Ian Happ#,2022,404.8,158.0,2.56,standard
bettsmo01,Mookie Betts,2022,474.5,142.0,3.34,standard
kwanst01,Steven Kwan*,2022,415.9,147.0,2.83,standard
croncj01,C.J. Cron,2022,430.0,150.0,2.87,standard
wittbo02,Bobby Witt Jr.,2022,449.5,150.0,3.0,standard
bogaexa01,Xander Bogaerts,2022,414.3,150.0,2.76,standard
bohmal01,Alec Bohm,2022,401.4,152.0,2.64,standard
edmanto01,Tommy Edman#,2022,440.5,153.0,2.88,standard
suareeu01,Eugenio Suárez,2022,415.9,150.0,2.77,standard
phamth01,Tommy Pham,2022,405.7,144.0,2.82,standard
phamth01,Tommy Pham,2022,371.5,91.0,4.08,standard
phamth01,Tommy Pham,2022,336.9,53.0,6.36,standard
chapmma01,Matt Chapman,2022,414.9,155.0,2.68,standard
arenano01,Nolan Arenado,2022,449.4,148.0,3.04,standard
adamewi01,Willy Adames,2022,442.6,139.0,3.18,standard
hernace02,César Hernández#,2022,361.5,147.0,2.46,standard
deverra01,Rafael Devers*,2022,433.6,141.0,3.08,standard
reynobr01,Bryan Reynolds#,2022,411.2,145.0,2.84,standard
francty01,Ty France,2022,408.5,140.0,2.92,standard
murphse01,Sean Murphy,2022,392.7,148.0,2.65,standard
mountry01,Ryan Mountcastle,2022,405.9,145.0,2.8,standard
